Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Sami Whitcomb,SEA,G,31,265,31,0,265,5.8,16.7,.349,4.8,13.4,.362,1.0,3.3,.294,1.2,1.2,1.000,1.0,5.6,3.1,3.1,0.8,2.9,3.9,17.6
Sydney Wiese,LAS,G,11,36,11,0,36,0.0,5.9,.000,0.0,5.9,.000,0.0,0.0,,0.0,0.0,,0.0,4.4,2.9,0.0,0.0,1.5,7.4,0.0
Courtney Williams,CON,G,30,812,30,29,812,10.7,23.4,.456,1.2,3.3,.377,9.4,20.1,.469,1.1,1.6,.680,2.9,11.1,5.6,1.4,0.1,3.4,2.9,23.6
Elizabeth Williams,ATL,C-F,33,885,33,32,885,6.9,12.6,.548,0.0,0.0,,6.9,12.6,.548,3.3,5.9,.563,4.0,10.8,2.6,1.5,3.4,2.3,5.0,17.0
Gabby Williams,CHI,F,34,781,34,30,781,6.6,15.3,.432,0.5,1.7,.269,6.1,13.6,.452,2.3,3.0,.783,2.7,9.4,3.6,3.6,0.5,2.5,4.3,16.0
Riquna Williams,LAS,G,33,546,33,3,546,7.9,19.4,.407,4.7,12.4,.375,3.2,6.9,.465,2.3,2.9,.800,1.2,4.5,2.1,2.1,0.3,1.6,5.1,22.8
A'ja Wilson,LVA,F,33,1010,33,33,1010,12.0,26.0,.462,0.0,0.0,,12.0,26.0,.462,9.4,12.2,.774,3.2,12.9,3.6,1.4,2.7,2.3,3.3,33.4
Imani Wright,PHO,G,1,1,1,0,1,0.0,51.3,.000,0.0,51.3,.000,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tanisha Wright,MIN,G,33,586,33,4,586,4.5,11.8,.383,1.7,4.3,.396,2.8,7.6,.376,1.8,2.4,.741,1.0,4.7,5.8,1.4,0.4,3.7,5.6,12.5
Tamera Young,LVA,F,33,881,33,25,881,7.3,17.8,.408,0.2,0.7,.308,7.0,17.0,.413,3.7,5.2,.707,2.0,9.4,5.1,1.8,0.3,3.1,3.8,18.4
Amanda Zahui B.,NYL,C,29,460,29,0,460,10.1,20.1,.500,2.3,6.8,.344,7.7,13.3,.580,2.6,4.2,.605,4.1,9.7,2.3,1.2,1.3,5.0,8.9,25.0
Cecilia Zandalasini,MIN,F,29,478,29,6,478,6.6,16.2,.409,2.5,6.5,.383,4.1,9.7,.427,2.3,2.7,.840,0.7,5.9,3.5,0.9,0.1,3.4,5.6,18.1
Shavonte Zellous,NYL,G,22,531,22,22,531,6.1,14.4,.423,0.8,2.9,.267,5.3,11.5,.462,4.5,5.9,.754,0.6,6.7,6.3,1.3,0.5,2.6,5.5,17.4
Alex Bentley,TOT,G,35,745,35,0,745,19.4,50.1,.387,5.9,19.2,.307,13.5,30.9,.436,5.2,7.1,.723,1.5,7.7,17.4,6.1,0.5,8.6,11.5,49.8
Layshia Clarendon,TOT,G,33,549,33,4,549,9.2,23.0,.401,0.3,3.2,.100,8.9,19.7,.451,7.0,8.6,.811,2.7,9.9,11.6,2.4,0.0,6.1,7.8,25.7
Tayler Hill,TOT,G,20,235,20,1,235,10.2,35.9,.286,5.5,19.2,.289,4.7,16.6,.282,5.5,6.0,.929,1.3,6.4,8.5,1.3,0.9,7.3,3.4,31.6
Maggie Lucas,TOT,G,8,56,8,0,56,1.4,22.4,.063,1.4,18.2,.077,0.0,4.2,.000,0.0,0.0,,1.4,4.2,0.0,4.2,0.0,8.4,0.0,4.2
Teana Muldrow,TOT,F,4,9,4,0,9,0.0,16.8,.000,0.0,16.8,.000,0.0,0.0,,0.0,0.0,,0.0,16.8,0.0,0.0,0.0,0.0,16.8,0.0
Cappie Pondexter,TOT,G,30,545,30,14,545,10.7,28.2,.381,1.4,3.8,.367,9.4,24.4,.383,4.9,5.7,.867,0.9,7.0,6.8,1.9,0.0,3.4,5.7,27.8
Aerial Powers,TOT,G,24,345,24,0,345,10.5,26.6,.393,2.6,9.6,.273,7.9,17.0,.462,8.7,10.0,.870,3.5,14.4,4.6,2.8,1.3,6.8,6.5,32.3
Mercedes Russell,TOT,C,24,133,24,0,133,25.7,54.6,.471,0.0,0.0,,25.7,54.6,.471,12.9,22.5,.571,12.9,53.0,6.4,3.2,4.8,11.2,25.7,64.3
Alex Bentley,CON,G,19,413,19,0,413,8.8,22.3,.396,2.6,8.5,.304,6.2,13.8,.451,3.1,3.7,.833,1.2,3.3,7.5,3.1,0.2,3.8,5.4,23.3
Layshia Clarendon,ATL,G,18,311,18,4,311,4.2,12.8,.329,0.3,2.3,.143,3.9,10.5,.369,3.9,4.9,.800,1.6,6.0,5.0,1.1,0.0,3.9,5.0,12.6
Tayler Hill,WAS,G,13,117,13,0,117,4.9,17.5,.282,2.7,9.4,.286,2.2,8.1,.278,4.9,5.4,.917,0.4,3.6,5.8,0.9,0.4,4.9,2.7,17.5
Maggie Lucas,ATL,G,7,36,7,0,36,1.4,15.4,.091,1.4,14.0,.100,0.0,1.4,.000,0.0,0.0,,1.4,4.2,0.0,1.4,0.0,7.0,0.0,4.2
Teana Muldrow,SEA,F,3,6,3,0,6,0.0,8.6,.000,0.0,8.6,.000,0.0,0.0,,0.0,0.0,,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0
Cappie Pondexter,LAS,G,13,134,13,0,134,5.9,17.0,.349,0.0,0.8,.000,5.9,16.2,.366,6.7,7.5,.895,0.8,5.5,4.0,1.2,0.0,1.6,5.9,18.6
Aerial Powers,DAL,G,15,231,15,0,231,6.5,17.9,.366,1.1,6.1,.179,5.5,11.8,.463,6.1,7.4,.824,2.4,8.1,2.8,1.5,0.4,5.2,4.6,20.3
Mercedes Russell,NYL,C,2,32,2,0,32,1.6,4.8,.333,0.0,0.0,,1.6,4.8,.333,4.8,6.4,.750,0.0,4.8,3.2,3.2,1.6,1.6,3.2,8.0
Alex Bentley,ATL,G,16,332,16,0,332,8.5,22.6,.376,2.7,8.8,.310,5.8,13.8,.418,1.4,2.6,.529,0.0,3.6,8.2,2.3,0.2,3.9,4.8,21.1
Layshia Clarendon,CON,G,15,238,15,0,238,6.6,13.4,.492,0.0,1.3,.000,6.6,12.1,.544,4.0,4.9,.826,1.5,5.1,8.7,1.7,0.0,3.0,3.6,17.2
Tayler Hill,DAL,G,7,118,7,1,118,5.5,19.2,.289,3.0,10.2,.292,2.6,9.0,.286,0.9,0.9,1.000,0.9,3.0,3.0,0.4,0.4,2.6,0.9,14.9
Maggie Lucas,DAL,G,1,20,1,0,20,0.0,12.6,.000,0.0,7.6,.000,0.0,5.0,.000,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,2.5,0.0,0.0
Teana Muldrow,DAL,F,1,3,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,16.8,0.0
Cappie Pondexter,IND,G,17,411,17,14,411,8.9,22.8,.389,1.4,3.5,.393,7.5,19.2,.388,2.8,3.3,.846,0.6,5.2,5.6,1.5,0.0,2.9,3.8,21.9
Aerial Powers,WAS,G,9,114,9,0,114,8.3,18.4,.450,3.2,7.4,.438,5.1,11.0,.458,5.5,5.5,1.000,2.3,13.3,3.7,2.8,1.8,3.2,4.1,25.3
Mercedes Russell,SEA,C,22,101,22,0,101,7.6,15.8,.484,0.0,0.0,,7.6,15.8,.484,2.5,5.1,.500,4.1,15.2,1.0,0.0,1.0,3.0,7.1,17.8
