Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Essence Carson,TOT,G,21,291,21,2,291,12.4,41.0,.303,5.0,18.2,.273,7.4,22.8,.327,2.5,4.1,.600,2.9,14.5,5.0,3.7,0.8,6.6,8.7,32.3
Jacki Gemelos,TOT,G,18,222,18,1,222,33.3,98.3,.339,15.8,61.4,.257,17.5,36.9,.476,3.5,7.0,.500,5.3,33.3,26.3,10.5,1.8,21.1,31.6,86.0
Megan Huff,TOT,F,7,16,7,0,16,0.0,13.5,.000,0.0,4.5,.000,0.0,9.0,.000,0.0,0.0,,9.0,18.0,4.5,0.0,0.0,13.5,13.5,0.0
Alisia Jenkins,TOT,F,5,28,5,0,28,33.1,132.3,.250,0.0,49.6,.000,33.1,82.7,.400,66.1,99.2,.667,0.0,66.1,0.0,0.0,0.0,49.6,49.6,132.3
Stella Johnson,TOT,G,9,100,9,2,100,132.3,281.1,.471,74.4,115.8,.643,57.9,165.4,.350,41.3,41.3,1.000,33.1,99.2,99.2,49.6,16.5,33.1,91.0,380.4
Stephanie Mavunga,TOT,F,10,95,10,0,95,17.9,40.0,.448,0.0,6.9,.000,17.9,33.1,.542,12.4,15.2,.818,13.8,45.5,6.9,1.4,2.8,15.2,15.2,48.2
Erica McCall,TOT,F,20,183,20,0,183,160.1,450.2,.356,10.0,40.0,.250,150.1,410.2,.366,180.1,220.1,.818,230.1,490.2,30.0,70.0,70.0,90.0,240.1,510.2
Shey Peddy,TOT,G,17,257,17,0,257,6.7,22.3,.302,1.4,12.0,.118,5.3,10.3,.517,7.8,7.8,1.000,3.2,12.4,10.6,6.7,0.4,5.3,7.8,22.6
Essence Carson,WAS,G,10,168,10,0,168,5.3,18.4,.288,1.9,7.2,.261,3.4,11.2,.306,0.9,1.9,.500,1.9,5.6,1.6,1.6,0.3,3.1,2.8,13.4
Jacki Gemelos,CON,G,6,29,6,0,29,7.0,14.0,.500,5.3,10.5,.500,1.8,3.5,.500,0.0,0.0,,0.0,3.5,1.8,3.5,0.0,5.3,8.8,19.3
Megan Huff,MIN,F,3,5,3,0,5,0.0,10.4,.000,0.0,0.0,,0.0,10.4,.000,0.0,0.0,,20.8,31.2,10.4,0.0,0.0,0.0,10.4,0.0
Alisia Jenkins,IND,F,1,2,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,25.5,0.0,0.0,0.0,0.0,0.0,0.0
Stella Johnson,CHI,G,4,6,4,0,6,0.0,8.3,.000,0.0,0.0,,0.0,8.3,.000,0.0,0.0,,0.0,16.5,0.0,8.3,0.0,0.0,8.3,0.0
Stephanie Mavunga,IND,F,5,59,5,0,59,6.9,15.5,.444,0.0,1.7,.000,6.9,13.8,.500,7.8,9.5,.818,6.0,17.3,2.6,0.0,1.7,4.3,2.6,21.6
Erica McCall,ATL,F,1,5,1,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,20.0,0.0,10.0,0.0,0.0,10.0,0.0
Shey Peddy,WAS,G,9,116,9,0,116,4.1,13.1,.310,0.9,6.8,.133,3.2,6.3,.500,5.4,5.4,1.000,0.9,5.0,5.0,3.2,0.0,3.6,3.6,14.4
Essence Carson,CON,G,11,123,11,2,123,5.4,16.5,.325,2.5,8.7,.286,2.9,7.9,.368,1.2,1.7,.750,0.4,7.0,2.9,1.7,0.4,2.5,5.0,14.5
Jacki Gemelos,WAS,G,12,193,12,1,193,4.1,13.0,.313,1.6,7.9,.207,2.4,5.2,.474,0.5,1.1,.500,0.8,4.6,3.8,1.1,0.3,2.4,3.5,10.3
Megan Huff,LVA,F,4,11,4,0,11,0.0,9.0,.000,0.0,4.5,.000,0.0,4.5,.000,0.0,0.0,,0.0,4.5,0.0,0.0,0.0,13.5,9.0,0.0
Alisia Jenkins,CHI,F,2,3,2,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stella Johnson,WAS,G,5,94,5,2,94,8.9,18.4,.485,5.0,7.8,.643,3.9,10.6,.368,2.8,2.8,1.000,2.2,5.6,6.7,2.8,1.1,2.2,5.6,25.6
Stephanie Mavunga,CHI,F,5,36,5,0,36,6.9,15.2,.455,0.0,4.1,.000,6.9,11.0,.625,0.0,0.0,,4.1,17.9,2.8,1.4,0.0,8.3,11.0,13.8
Erica McCall,MIN,F,19,178,19,0,178,4.7,13.1,.356,0.3,1.2,.250,4.4,12.0,.366,5.3,6.4,.818,6.7,13.7,0.9,1.8,2.0,2.6,6.7,14.9
Shey Peddy,PHO,G,8,141,8,0,141,3.5,12.0,.294,0.7,6.7,.105,2.8,5.3,.533,3.5,3.5,1.000,2.5,8.5,6.7,4.2,0.4,2.5,5.0,11.3
Alisia Jenkins,PHO,F,2,23,2,0,23,4.3,17.4,.250,0.0,6.5,.000,4.3,10.8,.400,8.7,13.0,.667,0.0,6.5,0.0,0.0,0.0,6.5,6.5,17.4
