Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Courtney Vandersloot,CHI,G,33,991,33,33,991,6.7,14.8,.452,1.5,5.3,.290,5.1,9.5,.542,3.4,4.0,.850,1.0,7.1,14.8,2.2,0.7,4.7,2.5,18.3
Ashley Walker,LAS,F-C,3,22,3,0,22,2.3,25.5,.091,0.0,11.6,.000,2.3,13.9,.167,0.0,0.0,,4.6,6.9,6.9,2.3,0.0,0.0,9.3,4.6
Shatori Walker-Kimbrough,WAS,G,34,580,34,1,580,6.8,15.8,.432,2.0,6.4,.310,4.9,9.4,.514,4.8,5.1,.930,1.5,4.8,3.8,2.5,0.7,3.1,3.7,20.4
Avery Warley-Talbert,NYL,C,3,35,3,0,35,1.4,7.2,.200,0.0,0.0,,1.4,7.2,.200,1.4,2.9,.500,4.3,10.1,0.0,0.0,2.9,5.8,10.1,4.3
Erica Wheeler,IND,G,34,850,34,34,850,7.8,18.3,.426,2.9,7.7,.384,4.8,10.6,.457,2.5,2.9,.872,0.3,6.3,10.5,2.5,0.3,6.0,4.5,21.1
Sami Whitcomb,SEA,G,33,674,33,13,674,6.4,17.5,.366,4.9,14.4,.342,1.5,3.1,.475,0.9,0.9,1.000,1.3,4.5,6.1,2.8,0.3,4.1,3.8,18.6
Sydney Wiese,LAS,G,32,659,32,16,659,4.3,11.1,.385,2.6,7.2,.366,1.6,3.9,.420,0.7,0.7,1.000,0.4,3.2,4.4,1.2,0.6,2.5,2.1,11.8
Courtney Williams,CON,G,34,988,34,34,988,9.6,22.1,.435,0.8,1.8,.457,8.8,20.3,.433,3.1,3.9,.800,2.5,9.7,6.6,2.4,0.7,2.9,2.4,23.2
Elizabeth Williams,ATL,C-F,32,909,32,32,909,6.1,13.4,.455,0.0,0.0,,6.1,13.4,.455,4.7,6.4,.732,5.6,11.8,2.1,1.4,3.0,2.3,4.0,16.8
Gabby Williams,CHI,F,33,527,33,2,527,7.0,16.8,.414,0.7,3.8,.171,6.3,13.0,.486,2.7,3.7,.725,1.3,6.7,6.3,2.1,0.7,5.1,3.8,17.3
Riquna Williams,LAS,G,23,593,23,14,593,8.0,20.8,.384,4.6,11.9,.391,3.4,8.9,.375,3.8,4.3,.880,1.1,5.2,3.2,2.2,0.3,2.4,5.0,24.4
A'ja Wilson,LVA,F,26,740,26,25,740,10.6,22.1,.479,0.0,0.1,.000,10.6,22.0,.480,7.6,9.6,.792,2.9,11.2,3.1,0.9,3.0,3.7,3.5,28.8
Tanisha Wright,NYL,G,31,613,31,17,613,4.4,10.7,.415,1.1,3.1,.368,3.3,7.6,.435,2.1,2.5,.806,1.7,7.1,10.3,2.6,0.7,4.7,5.5,12.1
Han Xu,NYL,C,18,143,18,0,143,8.4,20.4,.414,1.8,3.5,.500,6.7,16.9,.396,0.4,0.7,.500,0.7,5.3,0.7,1.1,1.4,0.7,2.1,19.0
Jackie Young,LVA,G,34,767,34,34,767,4.9,15.2,.322,0.9,2.8,.318,4.0,12.4,.323,3.8,4.7,.808,1.5,7.2,9.9,1.7,0.8,3.4,3.0,14.5
Tamera Young,LVA,F,34,628,34,4,628,5.4,14.1,.380,0.4,1.3,.313,5.0,12.8,.387,3.1,4.8,.639,2.8,9.8,5.3,1.8,0.3,3.8,4.8,14.2
Amanda Zahui B.,NYL,C,24,558,24,23,558,7.3,15.6,.468,2.0,6.2,.319,5.3,9.4,.567,2.1,2.4,.852,2.3,13.7,1.9,2.3,3.0,2.9,7.1,18.7
Shavonte Zellous,SEA,G,31,432,31,4,432,5.4,14.2,.379,0.7,3.9,.188,4.6,10.3,.452,3.7,4.9,.750,0.7,5.9,5.5,1.2,0.7,4.3,5.4,15.2
Kristine Anigwe,TOT,F-C,27,250,27,0,250,9.2,28.6,.324,0.0,0.0,,9.2,28.6,.324,9.2,13.5,.688,11.8,27.7,2.5,3.8,3.4,7.1,16.4,27.7
Bridget Carleton,TOT,F,8,40,8,0,40,1.8,14.0,.125,1.8,7.0,.250,0.0,7.0,.000,0.0,0.0,,1.8,7.0,1.8,0.0,0.0,1.8,3.5,5.3
Alaina Coates,TOT,C,23,167,23,0,167,16.5,31.0,.533,0.0,0.0,,16.5,31.0,.533,8.3,14.5,.571,14.5,41.3,1.4,3.4,7.6,6.2,25.5,41.3
Theresa Plaisance,TOT,F,31,442,31,12,442,42.9,116.0,.370,19.9,58.0,.342,23.0,58.0,.397,16.7,20.7,.808,19.1,89.8,27.0,7.2,15.1,24.6,51.7,122.4
Karlie Samuelson,TOT,G,7,84,7,0,84,3.4,15.8,.214,3.4,13.5,.250,0.0,2.3,.000,0.0,0.0,,1.1,4.5,5.6,3.4,1.1,0.0,9.0,10.1
Asia Taylor,TOT,F,12,96,12,0,96,7.9,22.2,.357,0.0,1.6,.000,7.9,20.6,.385,4.7,6.3,.750,6.3,16.6,6.3,1.6,0.8,5.5,7.9,20.6
Kristine Anigwe,CON,F-C,17,121,17,0,121,4.6,14.7,.314,0.0,0.0,,4.6,14.7,.314,5.0,7.1,.706,5.9,12.6,1.3,2.5,1.7,4.2,7.1,14.3
Bridget Carleton,CON,F,4,29,4,0,29,0.0,10.5,.000,0.0,3.5,.000,0.0,7.0,.000,0.0,0.0,,1.8,5.3,1.8,0.0,0.0,1.8,3.5,0.0
Alaina Coates,MIN,C,14,92,14,0,92,8.4,17.3,.484,0.0,0.0,,8.4,17.3,.484,2.8,4.5,.625,7.3,18.5,0.6,1.7,2.8,2.8,9.5,19.6
Theresa Plaisance,DAL,F,22,378,22,12,378,6.6,17.6,.374,3.3,9.6,.343,3.3,8.0,.411,2.4,3.1,.773,3.0,13.9,4.9,0.9,2.4,4.3,7.6,18.9
Karlie Samuelson,LAS,G,3,36,3,0,36,1.4,9.9,.143,1.4,8.5,.167,0.0,1.4,.000,0.0,0.0,,0.0,2.8,4.2,0.0,0.0,0.0,2.8,4.2
Asia Taylor,MIN,F,8,65,8,0,65,7.9,17.4,.455,0.0,0.8,.000,7.9,16.6,.476,4.0,4.7,.833,3.2,11.1,5.5,0.8,0.8,4.0,4.7,19.8
Kristine Anigwe,DAL,F-C,10,129,10,0,129,4.6,13.8,.333,0.0,0.0,,4.6,13.8,.333,4.2,6.3,.667,5.9,15.1,1.3,1.3,1.7,2.9,9.2,13.4
Bridget Carleton,MIN,F,4,11,4,0,11,4.7,9.4,.500,4.7,9.4,.500,0.0,0.0,,0.0,0.0,,0.0,4.7,0.0,0.0,0.0,0.0,0.0,14.0
Alaina Coates,ATL,C,9,75,9,0,75,6.2,9.6,.643,0.0,0.0,,6.2,9.6,.643,4.8,9.0,.538,5.5,18.6,0.7,1.4,4.1,2.8,13.8,17.2
Theresa Plaisance,CON,F,9,64,9,0,64,6.4,18.3,.348,1.6,4.8,.333,4.8,13.5,.353,3.2,3.2,1.000,2.4,12.7,0.0,2.4,1.6,0.8,9.5,17.5
Karlie Samuelson,DAL,G,4,48,4,0,48,2.3,7.9,.286,2.3,6.8,.333,0.0,1.1,.000,0.0,0.0,,1.1,2.3,2.3,3.4,1.1,0.0,6.8,6.8
Asia Taylor,PHO,F,4,31,4,0,31,0.0,10.2,.000,0.0,1.7,.000,0.0,8.5,.000,1.7,3.4,.500,6.8,11.9,1.7,1.7,0.0,3.4,6.8,1.7
